Var1,Freq
3 Biotech,1
ACG case reports journal,1
ACS applied materials &amp; interfaces,1
ACS central science,1
ACS medicinal chemistry letters,1
ACS omega,1
Acta biochimica et biophysica Sinica,2
Acta biochimica Polonica,2
"Acta crystallographica. Section F, Structural biology communications",2
Acta histochemica,1
"Acta physiologica (Oxford, England)",6
Advances in experimental medicine and biology,1
Advances in rare diseases,1
Aging,3
"Alcohol (Fayetteville, N.Y.)",1
"Alcoholism, clinical and experimental research",2
American journal of hypertension,1
American journal of medical genetics. Part A,1
American journal of nephrology,1
American journal of physiology. Cell physiology,4
American journal of physiology. Endocrinology and metabolism,1
American journal of physiology. Gastrointestinal and liver physiology,1
American journal of physiology. Heart and circulatory physiology,4
American journal of physiology. Lung cellular and molecular physiology,1
"American journal of physiology. Regulatory, integrative and comparative physiology",2
American journal of physiology. Renal physiology,2
American journal of respiratory cell and molecular biology,2
American journal of rhinology &amp; allergy,1
American journal of translational research,2
Amino acids,8
Analytical biochemistry,1
Analytical chemistry,1
Analytical sciences : the international journal of the Japan Society for Analytical Chemistry,1
Andrologia,1
Animal biotechnology,2
Animals : an open access journal from MDPI,1
Annals of general psychiatry,1
Annals of pediatric cardiology,1
Annals of the New York Academy of Sciences,2
Anticancer research,3
Antimicrobial agents and chemotherapy,1
Antioxidants &amp; redox signaling,17
"Antioxidants (Basel, Switzerland)",1
Applied and environmental microbiology,1
Applied immunohistochemistry &amp; molecular morphology : AIMM,1
"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme",1
Archives of biochemistry and biophysics,5
Archives of medical science : AMS,1
Archives of oral biology,2
"Arteriosclerosis, thrombosis, and vascular biology",1
ASN neuro,1
Austin journal of clinical ophthalmology,1
Autophagy,1
Basic &amp; clinical pharmacology &amp; toxicology,1
Basic research in cardiology,1
Behavioural brain research,1
Beijing da xue xue bao. Yi xue ban = Journal of Peking University. Health sciences,1
Biochemical and biophysical research communications,10
Biochemical genetics,1
Biochemical pharmacology,8
Biochemistry,3
Biochemistry. Biokhimiia,1
Biochimica et biophysica acta,6
Biochimica et biophysica acta. General subjects,1
Biochimica et biophysica acta. Molecular basis of disease,3
Biochimie,7
"BioFactors (Oxford, England)",2
Biological &amp; pharmaceutical bulletin,3
Biological trace element research,3
Biology,1
Biology of reproduction,5
Biology open,1
Biomacromolecules,1
BioMed research international,3
Biomedicine &amp; pharmacotherapy = Biomedecine &amp; pharmacotherapie,1
Biomolecules,6
Biomolecules &amp; therapeutics,1
Bioorganic &amp; medicinal chemistry letters,1
Biophysical journal,2
Bioscience reports,2
Biosensors &amp; bioelectronics,1
Biotechnology and bioengineering,1
Biotechnology letters,1
"Blood cells, molecules &amp; diseases",1
BMC cancer,1
BMC cell biology,1
BMC complementary and alternative medicine,1
BMC genomics,1
BMC neuroscience,1
BMC veterinary research,1
BMJ case reports,3
BMJ open,1
Bone,1
"Brain pathology (Zurich, Switzerland)",1
Brain research,2
Brain research bulletin,1
Brain topography,1
"Brain, behavior, and immunity",2
Brazilian journal of otorhinolaryngology,1
British journal of cancer,1
British journal of pharmacology,10
Bulletin of experimental biology and medicine,2
Canadian journal of physiology and pharmacology,8
Canadian Urological Association journal = Journal de l'Association des urologues du Canada,1
Cancer,1
Cancer letters,1
Cancer research,1
Cardiovascular research,1
Case reports in oncology,2
Cell biochemistry and biophysics,2
"Cell cycle (Georgetown, Tex.)",2
Cell death &amp; disease,4
Cell death and differentiation,1
Cell death discovery,1
Cell reports,1
Cell stem cell,1
Cells,1
"Cellular and molecular biology (Noisy-le-Grand, France)",1
Cellular and molecular gastroenterology and hepatology,1
Cellular and molecular life sciences : CMLS,2
Cellular and molecular neurobiology,6
"Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology",1
Central European journal of public health,1
"Chemical communications (Cambridge, England)",5
Chemical research in toxicology,1
Chemical reviews,1
Chemico-biological interactions,2
"Chemistry (Weinheim an der Bergstrasse, Germany)",1
Chinese medical journal,3
Circulation research,1
Clinica chimica acta; international journal of clinical chemistry,3
Clinical and applied thrombosis/hemostasis : official journal of the International Academy of Clinical and Applied Thrombosis/Hemostasis,1
Clinical and experimental pharmacology &amp; physiology,2
Clinical biochemistry,1
Clinical chemistry,1
Clinical chemistry and laboratory medicine,1
Clinical epigenetics,1
Clinical laboratory,1
"Clinical nutrition (Edinburgh, Scotland)",2
"Clinical science (London, England : 1979)",1
"Clinics (Sao Paulo, Brazil)",1
Clinics and research in hepatology and gastroenterology,1
"Comparative biochemistry and physiology. Part B, Biochemistry &amp; molecular biology",1
Comparative biochemistry and physiology. Toxicology &amp; pharmacology : CBP,1
Comprehensive Physiology,1
Croatian medical journal,1
Current Alzheimer research,1
Current developments in nutrition,1
Current drug targets,1
Current genomics,1
Current medicinal chemistry,3
Current molecular medicine,1
Current osteoporosis reports,1
Current protein &amp; peptide science,1
Current protocols in human genetics,1
Diabetes,2
Diseases of the esophagus : official journal of the International Society for Diseases of the Esophagus,1
DNA repair,1
"Doklady biological sciences : proceedings of the Academy of Sciences of the USSR, Biological sciences sections",1
Drug metabolism reviews,1
Ecotoxicology and environmental safety,1
EMBO molecular medicine,1
Endocrinology,1
Environmental toxicology and chemistry,1
Environmental toxicology and pharmacology,1
European journal of clinical nutrition,1
European journal of human genetics : EJHG,1
European journal of internal medicine,1
European journal of medicinal chemistry,1
European journal of nutrition,1
European journal of pediatrics,1
European journal of pharmacology,7
European review for medical and pharmacological sciences,1
Experimental &amp; molecular medicine,1
Experimental and therapeutic medicine,1
Experimental and toxicologic pathology : official journal of the Gesellschaft fur Toxikologische Pathologie,1
Experimental cell research,3
Experimental eye research,5
Experimental parasitology,1
Experimental physiology,1
Extremophiles : life under extreme conditions,1
"Eye and vision (London, England)",1
Fa yi xue za zhi,2
FASEB journal : official publication of the Federation of American Societies for Experimental Biology,17
FEBS letters,2
FEBS open bio,1
Food &amp; function,5
Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association,2
Food microbiology,1
Free radical biology &amp; medicine,13
Frontiers in bioscience (Landmark edition),1
Frontiers in cell and developmental biology,2
Frontiers in cellular neuroscience,1
Frontiers in immunology,1
Frontiers in microbiology,1
Frontiers in molecular biosciences,2
Frontiers in neurology,3
Frontiers in pharmacology,4
Frontiers in physiology,3
Frontiers in plant science,1
Frontiers in psychology,1
Frontiers in public health,1
Fundamental &amp; clinical pharmacology,1
Fungal genetics and biology : FG &amp; B,1
Future medicinal chemistry,1
"G3 (Bethesda, Md.)",1
Gene,10
General and comparative endocrinology,1
Genes,1
Genes &amp; nutrition,1
Genetic testing and molecular biomarkers,1
Genetics and molecular research : GMR,1
"Genetics, selection, evolution : GSE",1
Genome medicine,1
Georgian medical news,2
GeroScience,1
Glycobiology,1
Handbook of clinical neurology,1
Handbook of experimental pharmacology,6
"Hepatology (Baltimore, Md.)",2
Hereditary cancer in clinical practice,1
Human gene therapy,1
Human molecular genetics,4
Human mutation,6
Hypertension in pregnancy,1
Indian journal of pharmacology,1
Inflammation,1
Inflammopharmacology,1
Intensive care medicine experimental,1
International immunopharmacology,2
International journal for vitamin and nutrition research. Internationale Zeitschrift fur Vitamin- und Ernahrungsforschung. Journal international de vitaminologie et de nutrition,1
International journal of biochemistry and molecular biology,1
International journal of biological macromolecules,1
International journal of biometeorology,1
International journal of cardiology,2
International journal of clinical and experimental pathology,1
International journal of experimental pathology,1
International journal of molecular medicine,2
International journal of molecular sciences,15
International journal of ophthalmology,1
International orthodontics,1
International urology and nephrology,2
Investigative ophthalmology &amp; visual science,3
Iranian journal of basic medical sciences,3
Iranian journal of child neurology,1
JIMD reports,6
Journal of agricultural and food chemistry,1
Journal of Alzheimer's disease : JAD,4
Journal of animal physiology and animal nutrition,1
Journal of applied toxicology : JAT,1
Journal of bacteriology,1
Journal of Cancer,1
Journal of cardiovascular pharmacology,1
Journal of cellular biochemistry,2
Journal of cellular physiology,6
Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,3
Journal of child neurology,1
Journal of clinical biochemistry and nutrition,2
Journal of Crohn's &amp; colitis,1
Journal of dairy science,7
Journal of dental research,1
Journal of drug targeting,1
Journal of ethnopharmacology,1
Journal of Huazhong University of Science and Technology. Medical sciences = Hua zhong ke ji da xue xue bao. Yi xue Ying De wen ban = Huazhong keji daxue xuebao. Yixue Yingdewen ban,1
Journal of human genetics,1
Journal of inherited metabolic disease,10
Journal of inorganic biochemistry,1
"Journal of magnetic resonance (San Diego, Calif. : 1997)",1
Journal of medical genetics,1
Journal of medicinal chemistry,2
"Journal of molecular medicine (Berlin, Germany)",3
Journal of molecular neuroscience : MN,2
Journal of neonatal-perinatal medicine,2
Journal of neurochemistry,2
Journal of neuroendocrinology,1
Journal of neuroinflammation,1
Journal of neurosurgery,1
Journal of ocular pharmacology and therapeutics : the official journal of the Association for Ocular Pharmacology and Therapeutics,1
Journal of pediatric surgery,1
Journal of periodontology,1
Journal of physiology and biochemistry,1
Journal of physiology and pharmacology : an official journal of the Polish Physiological Society,2
Journal of plant physiology,1
Journal of proteome research,1
Journal of radiology case reports,1
Journal of structural biology,1
Journal of the American Chemical Society,1
Journal of the American Heart Association,4
Journal of the College of Physicians and Surgeons--Pakistan : JCPSP,1
Journal of the neurological sciences,3
Journal of the science of food and agriculture,1
Journal of vascular surgery,1
Kidney &amp; blood pressure research,1
Kidney international,1
Life sciences,1
Lipids,1
Matrix biology : journal of the International Society for Matrix Biology,1
Mechanisms of ageing and development,1
MedChemComm,2
Medical gas research,1
Medical hypotheses,4
Medicine,1
Medycyna pracy,1
Methods in enzymology,5
"Methods in molecular biology (Clifton, N.J.)",3
"Microcirculation (New York, N.Y. : 1994)",1
Microorganisms,1
Molecular and cellular endocrinology,1
Molecular biology reports,5
Molecular bioSystems,1
Molecular cancer research : MCR,1
Molecular cell,1
Molecular genetics &amp; genomic medicine,2
Molecular genetics and metabolism,7
Molecular genetics and metabolism reports,6
"Molecular medicine (Cambridge, Mass.)",1
Molecular medicine reports,5
Molecular metabolism,1
Molecular microbiology,3
Molecular neurobiology,4
Molecular nutrition &amp; food research,1
Molecular pain,3
Molecular therapy : the journal of the American Society of Gene Therapy,1
"Molecules (Basel, Switzerland)",8
Mutagenesis,1
Nature communications,6
Nature ecology &amp; evolution,1
Naunyn-Schmiedeberg's archives of pharmacology,1
"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",1
Neural regeneration research,6
Neurochemical research,5
Neurochemistry international,5
Neurogastroenterology and motility : the official journal of the European Gastrointestinal Motility Society,6
Neuropsychobiology,1
Neuroscience,1
Neuroscience and biobehavioral reviews,1
Neuroscience letters,3
Neuroscience research,1
Neurotoxicity research,1
Neurourology and urodynamics,1
Nihon yakurigaku zasshi. Folia pharmacologica Japonica,2
Nitric oxide : biology and chemistry,19
Nutrients,4
Nutrition &amp; metabolism,1
"Nutrition (Burbank, Los Angeles County, Calif.)",1
"Nutrition, metabolism, and cardiovascular diseases : NMCD",1
Oncology letters,1
Oncology reports,2
Oncotarget,5
Ophthalmic genetics,1
Oral diseases,1
Organic &amp; biomolecular chemistry,1
Orphanet journal of rare diseases,3
Otolaryngology--head and neck surgery : official journal of American Academy of Otolaryngology-Head and Neck Surgery,1
Oxidative medicine and cellular longevity,15
Pakistan journal of pharmaceutical sciences,1
Pancreatology : official journal of the International Association of Pancreatology (IAP) ... [et al.],1
Parasites &amp; vectors,1
Pediatric neurology,1
Pediatrics international : official journal of the Japan Pediatric Society,1
Pesticide biochemistry and physiology,1
Pflugers Archiv : European journal of physiology,1
Pharmacological reports : PR,1
Pharmacological research,12
Pharmacological reviews,1
Pharmacology,1
Pharmacology research &amp; perspectives,1
"Pharmacology, biochemistry, and behavior",2
Physiological genomics,1
Physiological reports,3
Pigment cell &amp; melanoma research,1
Placenta,3
Plant cell reports,1
Plant molecular biology,1
Plant physiology,1
PLoS biology,1
PLoS genetics,1
PLoS neglected tropical diseases,1
PloS one,26
Poultry science,2
Pregnancy hypertension,1
"Proceedings of the Japan Academy. Series B, Physical and biological sciences",1
Proceedings of the National Academy of Sciences of the United States of America,6
Prostate cancer,1
Protein science : a publication of the Protein Society,1
Proteomics,1
Psychiatry and clinical neurosciences,1
Pulmonary pharmacology &amp; therapeutics,1
Radiation research,2
Redox biology,9
Rejuvenation research,1
Reproductive biomedicine online,1
"Reproductive sciences (Thousand Oaks, Calif.)",1
Respiratory physiology &amp; neurobiology,4
Respiratory research,1
Reviews in the neurosciences,3
Revista brasileira de ginecologia e obstetricia : revista da Federacao Brasileira das Sociedades de Ginecologia e Obstetricia,1
"Science (New York, N.Y.)",1
Science advances,2
Science signaling,1
Scientific reports,24
Sheng li ke xue jin zhan [Progress in physiology],1
Sheng li xue bao : [Acta physiologica Sinica],3
Skin pharmacology and physiology,1
Stem cell research &amp; therapy,1
"Structure (London, England : 1993)",1
Talanta,1
The American journal of pathology,2
The Biochemical journal,3
The British journal of nutrition,1
The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,1
The Cochrane database of systematic reviews,1
The FEBS journal,3
The International journal of neuroscience,1
The Journal of allergy and clinical immunology,1
The Journal of biological chemistry,19
The Journal of clinical endocrinology and metabolism,2
The Journal of clinical investigation,2
The Journal of eukaryotic microbiology,1
The journal of gene medicine,1
The Journal of nutrition,7
The Journal of nutritional biochemistry,2
The Journal of pediatrics,1
The Journal of pharmacology and experimental therapeutics,1
The journal of physiological sciences : JPS,1
The Journal of physiology,1
The journal of sexual medicine,2
The Journal of surgical research,2
The Journal of urology,1
"The journals of gerontology. Series A, Biological sciences and medical sciences",1
The Kaohsiung journal of medical sciences,1
The New phytologist,1
The protein journal,1
The Tohoku journal of experimental medicine,1
Therapeutics and clinical risk management,1
TheScientificWorldJournal,2
Thorax,1
Thrombosis journal,1
Thrombosis research,1
Toxicological research,1
Toxicological sciences : an official journal of the Society of Toxicology,1
Toxicology and applied pharmacology,3
Toxicology in vitro : an international journal published in association with BIBRA,1
Toxicology letters,1
Toxicology research,1
Toxins,1
Transactions of the Royal Society of Tropical Medicine and Hygiene,1
Transgenic research,1
Urologic oncology,1
Vascular pharmacology,1
Vestnik Rossiiskoi akademii meditsinskikh nauk,1
Wei sheng yan jiu = Journal of hygiene research,1
World journal of gastroenterology,2
World journal of pediatrics : WJP,1
Yakugaku zasshi : Journal of the Pharmaceutical Society of Japan,1
Yonsei medical journal,1
Zhejiang da xue xue bao. Yi xue ban = Journal of Zhejiang University. Medical sciences,1
Zhongguo dang dai er ke za zhi = Chinese journal of contemporary pediatrics,1
Zhongguo ying yong sheng li xue za zhi = Zhongguo yingyong shenglixue zazhi = Chinese journal of applied physiology,1
Zhonghua nan ke xue = National journal of andrology,3
Zhonghua yi xue yi chuan xue za zhi = Zhonghua yixue yichuanxue zazhi = Chinese journal of medical genetics,1
Zhonghua yu fang yi xue za zhi [Chinese journal of preventive medicine],1
Zhonghua zhong liu za zhi [Chinese journal of oncology],1
